time_of_day,2014-11-28,2014-12-01,2014-12-02,2014-12-03,2014-12-04,2014-12-05,2014-12-08,2014-12-09,2014-12-10,2014-12-11,2014-12-12,2014-12-15,2014-12-16,2014-12-17
09:26:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,
09:27:00,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,
09:28:00,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,
09:29:00,7.0,10.0,7.0,9.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,10.0,7.0,
09:30:00,6.0,9.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,
09:31:00,5.0,6.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,9.0,5.0,10.0,5.0,
09:32:00,4.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,7.0,5.0,9.0,4.0,
09:33:00,3.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,6.0,4.0,7.0,3.0,
09:34:00,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,6.0,2.0,
09:35:00,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,5.0,1.0,
09:36:00,15.0,1.0,15.0,0.0,15.0,15.0,15.0,2.0,0.0,3.0,0.0,4.0,0.0,
09:37:00,14.0,0.0,14.0,14.0,14.0,14.0,14.0,1.0,14.0,2.0,14.0,2.0,15.0,
09:38:00,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,0.0,13.0,1.0,13.0,
09:39:00,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,
09:40:00,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,
09:41:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
09:42:00,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,
09:43:00,9.0,10.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,9.0,8.0,
09:44:00,7.0,9.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,8.0,
09:45:00,6.0,7.0,6.0,7.0,6.0,6.0,7.0,10.0,7.0,8.0,7.0,6.0,8.0,
09:46:00,5.0,5.0,5.0,6.0,5.0,5.0,5.0,9.0,6.0,7.0,6.0,5.0,8.0,
09:47:00,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,10.0,
09:48:00,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,9.0,
09:49:00,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,
09:50:00,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,
09:51:00,15.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,
09:52:00,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,14.0,0.0,14.0,14.0,4.0,
09:53:00,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,14.0,3.0,
09:54:00,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,2.0,
09:55:00,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,
09:56:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
09:57:00,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,
09:58:00,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,8.0,
09:59:00,7.0,7.0,7.0,7.0,7.0,10.0,7.0,9.0,7.0,10.0,7.0,10.0,10.0,
10:00:00,6.0,6.0,6.0,6.0,6.0,10.0,6.0,6.0,6.0,10.0,6.0,10.0,9.0,
10:01:00,5.0,5.0,5.0,5.0,5.0,9.0,5.0,6.0,6.0,10.0,5.0,9.0,6.0,
10:02:00,4.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,10.0,4.0,7.0,5.0,
10:03:00,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,6.0,9.0,3.0,6.0,4.0,
10:04:00,2.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,6.0,7.0,2.0,5.0,3.0,
10:05:00,0.0,1.0,0.0,3.0,0.0,4.0,1.0,2.0,5.0,6.0,1.0,4.0,2.0,
10:06:00,0.0,0.0,15.0,3.0,0.0,3.0,0.0,1.0,4.0,5.0,0.0,3.0,1.0,
10:07:00,14.0,14.0,14.0,2.0,14.0,1.0,14.0,0.0,3.0,4.0,14.0,2.0,0.0,
10:08:00,13.0,13.0,13.0,0.0,13.0,0.0,13.0,13.0,2.0,2.0,13.0,0.0,13.0,
10:09:00,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,1.0,1.0,12.0,13.0,13.0,
10:10:00,11.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,12.0,
10:11:00,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,
10:12:00,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,
10:13:00,8.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,
10:14:00,7.0,9.0,7.0,7.0,10.0,9.0,9.0,7.0,7.0,9.0,7.0,10.0,7.0,
10:15:00,6.0,9.0,6.0,7.0,9.0,6.0,6.0,6.0,6.0,7.0,6.0,10.0,7.0,
10:16:00,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,
10:17:00,4.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,6.0,5.0,4.0,7.0,4.0,
10:18:00,3.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,6.0,3.0,
10:19:00,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,
10:20:00,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,
10:21:00,15.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,
10:22:00,14.0,14.0,0.0,0.0,1.0,14.0,0.0,14.0,0.0,14.0,15.0,1.0,15.0,
10:23:00,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,
10:24:00,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
10:25:00,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,
10:26:00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,
10:27:00,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,
10:28:00,8.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,
10:29:00,7.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,10.0,9.0,7.0,
10:30:00,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,9.0,6.0,6.0,
10:31:00,5.0,5.0,5.0,8.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,
10:32:00,4.0,4.0,4.0,8.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,
10:33:00,3.0,3.0,2.0,8.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,
10:34:00,2.0,2.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,
10:35:00,0.0,0.0,0.0,10.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,
10:36:00,0.0,0.0,15.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,
10:37:00,14.0,14.0,14.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,15.0,15.0,
10:38:00,13.0,13.0,13.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,
10:39:00,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,
10:40:00,11.0,11.0,11.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,
10:41:00,10.0,10.0,10.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,
10:42:00,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,
10:43:00,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,
10:44:00,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,7.0,
10:45:00,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,10.0,9.0,7.0,6.0,
10:46:00,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,10.0,6.0,5.0,5.0,
10:47:00,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,6.0,10.0,5.0,5.0,4.0,
10:48:00,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,6.0,9.0,4.0,3.0,4.0,
10:49:00,3.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,6.0,7.0,3.0,2.0,2.0,
10:50:00,2.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,1.0,
10:51:00,2.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,
10:52:00,0.0,14.0,14.0,8.0,14.0,14.0,14.0,14.0,2.0,4.0,0.0,15.0,14.0,
10:53:00,0.0,13.0,13.0,10.0,13.0,13.0,13.0,13.0,1.0,2.0,13.0,14.0,13.0,
10:54:00,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,0.0,1.0,12.0,13.0,13.0,
10:55:00,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,0.0,11.0,12.0,12.0,
10:56:00,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,
10:57:00,9.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,
10:58:00,8.0,8.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,10.0,
10:59:00,8.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,7.0,9.0,8.0,9.0,
11:00:00,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,7.0,10.0,6.0,6.0,
11:01:00,8.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,10.0,6.0,6.0,
11:02:00,8.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,10.0,5.0,4.0,
11:03:00,8.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,3.0,10.0,4.0,4.0,
11:04:00,8.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,10.0,2.0,3.0,
11:05:00,8.0,2.0,0.0,7.0,0.0,0.0,1.0,1.0,4.0,1.0,7.0,2.0,1.0,
11:06:00,8.0,1.0,15.0,6.0,15.0,15.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,
11:07:00,8.0,0.0,14.0,5.0,14.0,14.0,14.0,14.0,2.0,14.0,6.0,14.0,14.0,
11:08:00,8.0,13.0,13.0,3.0,13.0,13.0,13.0,13.0,0.0,13.0,5.0,14.0,14.0,
11:09:00,8.0,12.0,12.0,2.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,12.0,13.0,
11:10:00,8.0,11.0,11.0,1.0,11.0,11.0,11.0,11.0,11.0,11.0,3.0,11.0,12.0,
11:11:00,8.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,
11:12:00,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,9.0,10.0,
11:13:00,8.0,10.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,
11:14:00,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,
11:15:00,10.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,
11:16:00,8.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,
11:17:00,8.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,
11:18:00,8.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,
11:19:00,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
11:20:00,8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
11:21:00,8.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:22:00,8.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,
11:23:00,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,
11:24:00,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,
11:25:00,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,
11:26:00,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,
11:27:00,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
11:28:00,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,
11:29:00,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,
11:30:00,9.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
11:31:00,8.0,5.0,5.0,8.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,
11:32:00,8.0,4.0,4.0,10.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
11:33:00,8.0,3.0,3.0,10.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
11:34:00,8.0,2.0,1.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
11:35:00,16.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,
11:36:00,15.0,15.0,15.0,7.0,15.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,
11:37:00,14.0,14.0,14.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
11:38:00,13.0,13.0,13.0,5.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,
11:39:00,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,
11:40:00,11.0,11.0,11.0,2.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,
11:41:00,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
11:42:00,9.0,9.0,9.0,0.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,
11:43:00,9.0,8.0,8.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,8.0,
11:44:00,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,8.0,
11:45:00,8.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,
11:46:00,8.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,
11:47:00,8.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,
11:48:00,8.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,
11:49:00,11.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,
11:50:00,8.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
11:51:00,8.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
11:52:00,8.0,0.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
11:53:00,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,
11:54:00,8.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,
11:55:00,26.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,
11:56:00,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
11:57:00,39.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,
11:58:00,38.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,
11:59:00,37.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10.0,7.0,7.0,8.0,8.0,
12:00:00,36.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,7.0,6.0,7.0,6.0,
12:01:00,35.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,9.0,6.0,5.0,6.0,6.0,
12:02:00,34.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,
12:03:00,33.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0,3.0,4.0,3.0,
12:04:00,32.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,
12:05:00,31.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,
12:06:00,30.0,0.0,15.0,15.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
12:07:00,29.0,14.0,14.0,14.0,14.0,3.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,
12:08:00,28.0,13.0,13.0,13.0,13.0,2.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,
12:09:00,27.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
12:10:00,26.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,
12:11:00,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
12:12:00,24.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,
12:13:00,23.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,
12:14:00,22.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,
12:15:00,21.0,7.0,9.0,6.0,6.0,6.0,6.0,6.0,10.0,6.0,6.0,6.0,7.0,
12:16:00,20.0,6.0,8.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,6.0,6.0,
12:17:00,19.0,5.0,8.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,4.0,4.0,5.0,
12:18:00,18.0,4.0,8.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,4.0,
12:19:00,17.0,3.0,8.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,
12:20:00,16.0,2.0,7.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,
12:21:00,15.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
12:22:00,14.0,14.0,5.0,14.0,14.0,14.0,14.0,14.0,2.0,14.0,14.0,14.0,0.0,
12:23:00,13.0,13.0,4.0,13.0,13.0,13.0,13.0,13.0,0.0,13.0,14.0,14.0,13.0,
12:24:00,12.0,12.0,3.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,
12:25:00,11.0,11.0,2.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,
12:26:00,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
12:27:00,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,
12:28:00,10.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,
12:29:00,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
12:30:00,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,
12:31:00,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,
12:32:00,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,
12:33:00,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,
12:34:00,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,
